boroct2010,variable_num,label,estimate
2005300,7,HHI 30-35k,136
2005300,8,HHI 35-40k,80
2005300,9,HHI 40-45k,47
2005300,10,HHI 45-50k,16
2005300,11,HHI 50-60k,90
2005300,12,HHI 60-75k,132
2005300,13,HHI 75-100k,7
2005300,14,HHI 100-125k,10
2005300,15,HHI 125-150k,11
2005300,16,HHI 150-200k,7
2005300,17,HHI 200k+,9
2005400,2,HHI <10k,256
2005400,3,HHI 10-15k,158
2005400,4,HHI 15-20k,109
2005400,5,HHI 20-25k,116
2005400,6,HHI 25-30k,70
2005400,7,HHI 30-35k,122
2005400,8,HHI 35-40k,99
2005400,9,HHI 40-45k,129
2005400,10,HHI 45-50k,118
2005400,11,HHI 50-60k,35
2005400,12,HHI 60-75k,179
2005400,13,HHI 75-100k,87
2005400,14,HHI 100-125k,98
2005400,15,HHI 125-150k,15
2005400,16,HHI 150-200k,71
2005400,17,HHI 200k+,10
2005600,2,HHI <10k,215
2005600,3,HHI 10-15k,108
2005600,4,HHI 15-20k,46
2005600,5,HHI 20-25k,34
2005600,6,HHI 25-30k,36
2005600,7,HHI 30-35k,69
2005600,8,HHI 35-40k,22
2005600,9,HHI 40-45k,12
2005600,10,HHI 45-50k,27
2005600,11,HHI 50-60k,107
2005600,12,HHI 60-75k,72
2005600,13,HHI 75-100k,50
2005600,14,HHI 100-125k,41
2005600,15,HHI 125-150k,6
2005600,16,HHI 150-200k,7
2005600,17,HHI 200k+,16
2005902,2,HHI <10k,175
2005902,3,HHI 10-15k,64
2005902,4,HHI 15-20k,61
2005902,5,HHI 20-25k,63
2005902,6,HHI 25-30k,149
2005902,7,HHI 30-35k,80
2005902,8,HHI 35-40k,46
2005902,9,HHI 40-45k,66
2005902,10,HHI 45-50k,11
2005902,11,HHI 50-60k,53
2005902,12,HHI 60-75k,84
2005902,13,HHI 75-100k,58
2005902,14,HHI 100-125k,57
2005902,15,HHI 125-150k,46
2005902,16,HHI 150-200k,26
2005902,17,HHI 200k+,12
2006000,2,HHI <10k,14
2006000,3,HHI 10-15k,49
2006000,4,HHI 15-20k,33
2006000,5,HHI 20-25k,21
2006000,6,HHI 25-30k,14
2006000,7,HHI 30-35k,59
2006000,8,HHI 35-40k,42
2006000,9,HHI 40-45k,16
2006000,10,HHI 45-50k,24
2006000,11,HHI 50-60k,40
2006000,12,HHI 60-75k,9
2006000,13,HHI 75-100k,3
2006000,14,HHI 100-125k,26
2006000,15,HHI 125-150k,3
2006000,16,HHI 150-200k,0
2006000,17,HHI 200k+,23
2006100,2,HHI <10k,171
2006100,3,HHI 10-15k,172
2006100,4,HHI 15-20k,89
2006100,5,HHI 20-25k,179
2006100,6,HHI 25-30k,40
2006100,7,HHI 30-35k,128
2006100,8,HHI 35-40k,79
2006100,9,HHI 40-45k,155
2006100,10,HHI 45-50k,202
2006100,11,HHI 50-60k,240
2006100,12,HHI 60-75k,81
2006100,13,HHI 75-100k,256
2006100,14,HHI 100-125k,67
2006100,15,HHI 125-150k,69
2006100,16,HHI 150-200k,120
2006100,17,HHI 200k+,15
2006200,2,HHI <10k,552
2006200,3,HHI 10-15k,261
2006200,4,HHI 15-20k,171
2006200,5,HHI 20-25k,211
2006200,6,HHI 25-30k,334
2006200,7,HHI 30-35k,102
2006200,8,HHI 35-40k,235
2006200,9,HHI 40-45k,20
2006200,10,HHI 45-50k,80
2006200,11,HHI 50-60k,73
2006200,12,HHI 60-75k,196
2006200,13,HHI 75-100k,85
2006200,14,HHI 100-125k,66
2006200,15,HHI 125-150k,0
2006200,16,HHI 150-200k,8
2006200,17,HHI 200k+,24
2006300,2,HHI <10k,199
2006300,3,HHI 10-15k,217
2006300,4,HHI 15-20k,139
2006300,5,HHI 20-25k,147
2006300,6,HHI 25-30k,133
2006300,7,HHI 30-35k,41
2006300,8,HHI 35-40k,107
2006300,9,HHI 40-45k,163
2006300,10,HHI 45-50k,168
2006300,11,HHI 50-60k,86
2006300,12,HHI 60-75k,73
2006300,13,HHI 75-100k,199
2006300,14,HHI 100-125k,114
2006300,15,HHI 125-150k,42
2006300,16,HHI 150-200k,33
2006300,17,HHI 200k+,57
2006400,2,HHI <10k,206
2006400,3,HHI 10-15k,54
2006400,4,HHI 15-20k,22
2006400,5,HHI 20-25k,138
2006400,6,HHI 25-30k,37
2006400,7,HHI 30-35k,86
2006400,8,HHI 35-40k,154
2006400,9,HHI 40-45k,25
2006400,10,HHI 45-50k,27
2006400,11,HHI 50-60k,152
2006400,12,HHI 60-75k,100
2006400,13,HHI 75-100k,144
2006400,14,HHI 100-125k,29
2006400,15,HHI 125-150k,24
2006400,16,HHI 150-200k,35
2006400,17,HHI 200k+,38
2006500,2,HHI <10k,441
2006500,3,HHI 10-15k,178
2006500,4,HHI 15-20k,148
2006500,5,HHI 20-25k,175
2006500,6,HHI 25-30k,228
2006500,7,HHI 30-35k,127
2006500,8,HHI 35-40k,150
2006500,9,HHI 40-45k,98
2006500,10,HHI 45-50k,21
